Created Date,Tickets_Sold,Total_Attended,Cumulative_Attendance,Total_Non_Attendance,Cumulative_Tickets_Sold
2019-07-16,125,YesYesNoNoYesYesNoYesNoYesYesNoNoNoYesYesYesYesYesNoYesYesNoYesYesNoNoNoYesNoNoNoYesNoYesNoNoYesNoYesYesYesNoNoYesNoYesYesYesYesNoNoNoYesNoYesYesNoYesNoNoNoNoNoNoYesYesNoYesYesNoNoNoYesNoYesNoNoNoNoYesNoNoYesYesYesYesNoYesNoNoNoNoNoYesYesYesNoNoYesNoYesYesYes,102,53,125
2019-07-30,119,NoYesYesYesYesYesYesYesNoNoYesNoNoYesYesYesNoYesNoYesNoNoNoYesNoNoNoNoNoNoNoNoNoNoNoYesNoYesNoYesNoNoNoNoYesNoYesYesNoYesNoYesYesYesNoNoNoNoNoYesYesNoNoNoNoYesYesNoYesYesYesNoNoYesYesNoYesYesNoNoNoNoNoYesYesNoNoNoNoYesNoNoNoYesYesYesNoNoYesNoYesYesYes,206,58,244
2019-07-31,19,YesYesYesYesYesNoNoNoYesYesYesYesNoNoYesYesYesYesYes,225,5,263
2019-08-01,2,YesNo,227,1,265
2019-08-02,1,No,228,1,266
2019-08-05,5,NoYesYesYes,232,1,271
2019-08-06,2,YesYes,234,0,273
2019-08-07,3,YesYesYes,237,0,276
2019-08-08,6,YesYesYesYesYesYes,242,0,282
2019-08-09,19,NoNoYesNoYesNoYesYesYesNoYesNoNoYesNoYesNo,258,9,301
2019-08-12,4,NoNoYesYes,262,2,305
2019-08-14,1,0,262,0,306
2019-08-15,6,NoNoYesNoYesNo,268,4,312
2019-08-16,4,YesYesYesYes,272,0,316
2019-08-19,3,YesYes,274,0,319
2019-08-21,4,YesYesNoYes,278,1,323
2019-08-22,1,No,279,1,324
2019-08-28,10,YesNoYesYesNoYesYesYes,288,2,334
2019-08-29,2,YesYes,290,0,336
2019-09-02,3,No,291,1,339
2019-09-03,9,YesYesYesYesYesNoYesYes,299,1,348
2019-09-04,1,Yes,300,0,349
2019-09-05,9,NoYesYesNoNoYesYesYes,308,3,358
2019-09-06,4,YesYesYesNo,312,1,362
2019-09-09,3,NoNoYes,315,2,365
2019-09-10,7,YesYesNoYesNoNoYes,322,3,372
2019-09-13,6,YesYesYesNoYesYes,328,1,378
2019-09-18,7,NoNoNoYesYes,333,3,385
2019-09-19,5,YesYesYesYes,337,0,390
2019-09-20,4,YesYesYesYes,341,0,394
2019-09-23,8,NoYesYesYesNoYesNo,348,3,402
2019-09-24,6,YesYesYesYesYesYes,354,0,408
2019-09-25,7,YesYesNoYesNo,359,2,415
2019-09-26,4,YesNoNoNo,363,3,419
2019-09-27,6,NoYesYesNoNoYes,369,3,425
2019-09-30,16,YesYesYesNoNoNoNoNoYesNoYesYesYes,382,6,441
2019-10-01,14,YesYesYesNoYesNoYesYesNoYesYesNoNo,395,5,455
2019-10-02,8,YesYesYesYesYesYes,400,0,463
2019-10-03,12,YesYesYesYesNoNoNoNoNoYes,411,5,475
2019-10-04,13,NoNoYesYesNoYesYesYesNoYesYesYesYes,424,4,488
2019-10-07,7,YesYesNoYesYesYes,430,1,495
2019-10-08,3,YesNoYes,433,1,498
2019-10-09,14,YesYesYesYesNoNoNoNoNoNoYes,444,6,512
2019-10-10,5,YesYesYesYesNo,449,1,517
2019-10-11,6,YesNoNoNoYesYes,455,3,523
2019-10-14,14,NoNoYesYesNoYesNoNoNoNo,465,7,537
2019-10-15,15,YesYesYesYesYesYesNoYes,477,1,552
2019-10-16,13,YesYesYesNoNoNoNoYesYesYesYesYesYes,490,4,565
2019-10-17,5,YesYesNoYesYes,495,1,570
2019-10-18,5,YesYesYesNoYes,501,1,575
2019-10-21,29,YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,528,0,604
2019-10-22,16,YesYesYesYesNoYesYesYesNoNoNoNoYesYesYes,543,5,620
2019-10-23,24,YesYesNoYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,565,1,644
2019-10-24,4,NoYesYesYes,569,1,648
2019-10-25,36,YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,605,0,684
2019-10-28,18,YesNoYesYesYesYesYesYesYesYesNoYesYesYesYesYesYesNo,622,3,702
2019-10-29,17,YesYesYesNoYesYesYesYesYesYesYesYesYesYesYesYes,637,1,719
2019-10-30,17,YesNoYesNoYesNoNoNoYesYesYesYesNoYesNo,653,7,736
2019-10-31,16,YesYesYesNoYesNoNoNoNoYesYesYesYesYesYes,667,5,752
2019-11-01,1,Yes,668,0,753
2019-11-04,12,YesYesNoYesYesYesNoYesYesNoYes,679,3,765
2019-11-05,9,YesYesNoNoYesYesYesYes,685,2,774
2019-11-06,50,YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesNoYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,734,1,824
2019-11-07,12,YesNoYesYesYesYesYesYesNoYesYesYes,744,2,836
2019-11-08,50,YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,792,0,886
2019-11-11,18,YesYesYesYesYesYesYesYesNoYesYesYesYesYesYesYesYesYes,809,1,904
2019-11-12,80,YesYesYesYesYesYesYesYesYesYesYesYesNoYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,887,1,984
2019-11-13,89,YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,975,0,1073
2019-11-14,22,YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesNoYesYesYesYesYesYes,996,1,1095
2019-11-15,45,YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesNoYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesNoNo,1038,3,1140
2019-11-18,45,YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,1082,0,1185
