Created Date,Tickets_Sold,Total_Attended,Cumulative_Attendance,Total_Non_Attendance,Cumulative_Tickets_Sold
2020-02-06,2,0.0,2,0,2
2020-10-21,72,0.0,70,0,74
2020-10-22,15,0.0,84,0,89
2020-10-23,4,0.0,88,0,93
2020-10-26,3,0.0,91,0,96
2020-10-28,6,0.0,97,0,102
2020-11-02,1,0.0,98,0,103
2020-11-04,1,0.0,99,0,104
2020-11-05,1,0.0,100,0,105
2020-11-06,5,0.0,105,0,110
2020-11-09,1,0.0,106,0,111
2020-11-19,1,0.0,107,0,112
2020-11-29,1,0.0,108,0,113
2020-12-01,4,0.0,112,0,117
2020-12-02,1,0.0,113,0,118
2020-12-07,1,0.0,114,0,119
2020-12-15,1,0.0,115,0,120
2020-12-29,2,0.0,117,0,122
2021-01-04,1,0.0,118,0,123
2021-01-14,12,0.0,130,0,135
2021-01-15,2,0.0,132,0,137
2021-01-18,2,0.0,134,0,139
2021-01-19,2,0.0,136,0,141
2021-01-21,1,0.0,137,0,142
2021-01-25,1,0.0,138,0,143
2021-01-30,1,0.0,139,0,144
2021-02-01,6,0.0,145,0,150
2021-02-02,12,0.0,157,0,162
2021-02-03,3,0.0,160,0,165
2021-02-07,1,0.0,161,0,166
2021-02-08,1,0.0,162,0,167
2021-02-15,27,0.0,189,0,194
2021-02-16,8,0.0,197,0,202
2021-02-17,5,0.0,202,0,207
2021-02-18,9,0.0,211,0,216
2021-02-19,3,0.0,214,0,219
2021-02-20,1,0.0,215,0,220
2021-02-22,8,0.0,223,0,228
2021-02-23,1,0.0,224,0,229
2021-02-24,1,0.0,225,0,230
2021-02-26,1,0.0,226,0,231
2021-03-01,4,0.0,230,0,235
2021-03-02,58,0.0,287,0,293
2021-03-03,15,0.0,302,0,308
2021-03-04,20,0.0,322,0,328
2021-03-05,25,0.0,347,0,353
2021-03-08,8,0.0,355,0,361
2021-03-09,24,0.0,379,0,385
2021-03-10,43,0.0,422,0,428
2021-03-11,9,0.0,431,0,437
2021-03-12,7,0.0,438,0,444
2021-03-13,1,0.0,439,0,445
2021-03-15,6,0.0,445,0,451
2021-03-16,4,0.0,449,0,455
2021-03-17,6,0.0,455,0,461
2021-03-18,2,0.0,457,0,463
2021-03-19,7,0.0,464,0,470
2021-03-21,1,0.0,465,0,471
2021-03-22,7,0.0,472,0,478
2021-03-23,15,0.0,487,0,493
2021-03-24,5,0.0,492,0,498
2021-03-25,16,0.0,508,0,514
2021-03-26,8,0.0,516,0,522
2021-03-28,1,0.0,517,0,523
2021-03-29,39,0.0,556,0,562
2021-03-30,19,0.0,575,0,581
2021-03-31,22,0.0,596,0,603
2021-04-01,4,0.0,600,0,607
2021-04-05,2,0.0,602,0,609
2021-04-06,28,0.0,627,0,637
2021-04-07,6,0.0,633,0,643
2021-04-08,9,0.0,642,0,652
2021-04-09,8,0.0,650,0,660
2021-04-10,1,0.0,651,0,661
2021-04-12,15,0.0,664,0,676
2021-04-13,15,0.0,679,0,691
2021-04-14,24,0.0,689,0,715
2021-04-15,16,0.0,705,0,731
2021-04-16,7,0.0,712,0,738
2021-04-19,10,0.0,720,0,748
2021-04-20,19,0.0,736,0,767
2021-04-21,29,0.0,765,0,796
2021-04-22,2,0.0,767,0,798
