Created Date,Tickets_Sold,Total_Attended,Cumulative_Attendance,Total_Non_Attendance,Cumulative_Tickets_Sold
2021-01-19,48,0.0,47,0,48
2021-01-20,13,0.0,60,0,61
2021-01-21,7,0.0,67,0,68
2021-01-24,1,0.0,68,0,69
2021-01-25,13,0.0,81,0,82
2021-01-26,42,0.0,122,0,124
2021-01-27,15,0.0,137,0,139
2021-01-28,5,0.0,142,0,144
2021-01-29,1,0.0,143,0,145
2021-02-01,1,0.0,144,0,146
2021-02-02,2,0.0,146,0,148
2021-02-03,1,0.0,147,0,149
2021-02-04,2,0.0,149,0,151
2021-02-05,86,0.0,234,0,237
2021-02-07,1,0.0,235,0,238
2021-02-08,28,0.0,262,0,266
2021-02-09,14,0.0,276,0,280
2021-02-10,4,0.0,280,0,284
2021-02-11,3,0.0,283,0,287
2021-02-12,11,0.0,294,0,298
2021-02-15,5,0.0,299,0,303
2021-02-16,32,0.0,331,0,335
2021-02-17,18,0.0,349,0,353
2021-02-18,135,0.0,483,0,488
2021-02-19,51,0.0,534,0,539
2021-02-20,4,0.0,538,0,543
2021-02-21,10,0.0,548,0,553
2021-02-22,117,0.0,664,0,670
2021-02-23,95,0.0,759,0,765
2021-02-24,62,0.0,818,0,827
2021-02-25,23,0.0,841,0,850
2021-02-26,19,0.0,860,0,869
2021-02-27,1,0.0,861,0,870
2021-03-01,17,0.0,878,0,887
2021-03-02,13,0.0,891,0,900
2021-03-03,94,0.0,983,0,994
2021-03-04,121,0.0,1102,0,1115
2021-03-05,39,0.0,1139,0,1154
2021-03-06,6,0.0,1145,0,1160
2021-03-07,14,0.0,1159,0,1174
2021-03-08,53,0.0,1211,0,1227
2021-03-09,24,0.0,1235,0,1251
2021-03-10,36,0.0,1271,0,1287
2021-03-11,66,0.0,1335,0,1353
2021-03-12,27,0.0,1362,0,1380
2021-03-13,9,0.0,1371,0,1389
2021-03-14,8,0.0,1379,0,1397
2021-03-15,30,0.0,1408,0,1427
2021-03-16,30,0.0,1438,0,1457
2021-03-17,27,0.0,1465,0,1484
2021-03-18,17,0.0,1482,0,1501
2021-03-19,16,0.0,1498,0,1517
2021-03-22,37,0.0,1535,0,1554
2021-03-23,31,0.0,1566,0,1585
2021-03-24,8,0.0,1574,0,1593
2021-03-25,1,0.0,1575,0,1594
2021-03-29,3,0.0,1578,0,1597
2021-03-30,1,0.0,1579,0,1598
2021-04-01,1,0.0,1580,0,1599
2021-04-09,2,0.0,1582,0,1601
