Created Date,Tickets_Sold,Total_Attended,Cumulative_Attendance,Total_Non_Attendance,Cumulative_Tickets_Sold
2023-01-30,1,Yes,1,0,1
2023-02-17,1,Yes,2,0,2
2023-02-24,3,YesYes,5,0,5
2023-02-27,30,YesNoYesYesYesYesYesYesYesNoYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,33,2,35
2023-02-28,3,Yes,34,0,38
2023-03-01,1,0,35,0,39
2023-03-02,92,YesNoYesNoYesYesYesYesYesNoYesYesYesYesYesNoYesNoYesYesNoNoNoYesYesYesYesYesYesYesYesNoYesYesNoYesYesYesNoYesYesYesYesYesNoNoYesYesYesYesYesYesNoYesYesNoYesYes,123,15,131
2023-03-03,33,YesYesYesNoNoNoYesYesNoYesYesNoNoYesYesYes,154,6,164
2023-03-04,2,0,156,0,166
2023-03-05,2,No,158,1,168
2023-03-06,15,YesYesYesYesYesYes,173,0,183
2023-03-07,26,NoYesNoYesYesYesYesYesYesYesYesNoYesYesYesYesYesYes,199,3,209
2023-03-08,6,YesYesYesYes,205,0,215
2023-03-09,9,YesYesYesNoYesYesYes,214,1,224
2023-03-10,4,Yes,218,0,228
2023-03-11,2,Yes,220,0,230
2023-03-12,3,No,223,1,233
2023-03-13,3,YesYes,226,0,236
2023-03-14,5,YesYesYes,231,0,241
2023-03-15,4,YesYesYes,235,0,245
2023-03-16,5,YesYesYes,240,0,250
2023-03-17,1,Yes,241,0,251
2023-03-19,1,0,242,0,252
2023-03-20,4,YesNoNoYes,246,2,256
2023-03-21,3,YesYesYes,249,0,259
2023-03-24,3,YesYesYes,252,0,262
2023-03-27,2,YesYes,254,0,264
2023-03-28,1,0,254,0,265
2023-03-30,2,Yes,256,0,267
2023-03-31,3,NoNo,259,2,270
2023-04-03,3,NoYesYes,262,1,273
2023-04-04,1,0,263,0,274
2023-04-05,1,Yes,264,0,275
2023-04-12,2,0,265,0,277
2023-04-13,2,YesYes,267,0,279
2023-04-15,1,Yes,268,0,280
2023-04-18,1,Yes,269,0,281
2023-04-20,5,YesYesNoYesYes,274,1,286
2023-04-21,5,YesYes,279,0,291
2023-04-22,1,0,280,0,292
2023-04-24,6,YesYes,286,0,298
2023-04-25,1,No,287,1,299
2023-04-26,4,YesYesYes,291,0,303
2023-05-02,12,YesYesYesYesYesYesYesYesYesYesYesYes,303,0,315
2023-05-03,4,0,307,0,319
2023-05-04,7,YesYesNoYesYes,314,1,326
2023-05-07,1,0,315,0,327
2023-05-09,7,YesYesYesYesNoNo,322,2,334
2023-05-12,11,YesYesYesYesYesYesYesYesYesYes,333,0,345
2023-05-15,14,YesYesYesYesNoYesYesYesYesNoYesYesYes,347,2,359
2023-05-16,10,YesNoNo,357,2,369
2023-05-17,19,YesYesYesYesYesYesNoYesYes,376,1,388
2023-05-18,25,YesYesYesYesYesYesYesYesNo,401,1,413
2023-05-19,11,YesYesYes,412,0,424
2023-05-20,2,0,414,0,426
2023-05-21,3,0,417,0,429
2023-05-22,18,YesYesYesYesYes,435,0,447
2023-05-23,65,YesYesYesYesYesYesYesYesYes,500,0,512
2023-05-24,69,YesYesYesYesYesYesYesYesYes,569,0,581
2023-05-25,18,YesYesYesYesYesYesYesYes,587,0,599
2023-05-26,8,Yes,595,0,607
2023-05-27,1,0,596,0,608
2023-05-30,13,YesYesNoYesNo,609,2,621
2023-05-31,12,YesYesYesYesYesYesYesYes,621,0,633
2023-06-01,9,YesYesYesYesYes,630,0,642
2023-06-02,23,YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,653,0,665
2023-06-03,2,0,655,0,667
2023-06-04,1,0,656,0,668
2023-06-05,14,YesYesYesYesYesYesYes,670,0,682
2023-06-06,9,YesYesYes,679,0,691
2023-06-07,6,YesYesYesYesYes,685,0,697
2023-06-08,2,NoYes,687,1,699
2023-06-29,27,0,714,0,726
2023-07-04,21,0,735,0,747
2023-07-17,5,0,740,0,752
2023-07-18,1,0,741,0,753
